open_time,close_time,trading_pair,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ema_20,ema_50,ema_200,sma_20,rsi_14,atr_14,atr_pct,return_pct,range_pct,body_pct,upper_wick_pct,lower_wick_pct,volume_ma_20,volume_ratio_20,rolling_high_20,rolling_low_20,rolling_high_50,rolling_low_50,dist_to_high20_pct,dist_to_low20_pct,above_ema_20,above_ema_50,above_ema_200,ema20_above_ema50,ema50_above_ema200
2025-03-26 00:00:00+00:00,2025-03-26 23:59:59.999000+00:00,ADAUSDT,0.7447,0.7744,0.7197,0.7287,166873889.6,125009779.06008,385185,76442358.3,57282185.32094,0.7287,0.7287,0.7287,,,0.05469999999999997,7.506518457527099,,7.506518457527099,2.1956909564978746,4.075751337999169,1.2350761630300546,,,,,,,,,False,False,False,False,False
2025-03-27 00:00:00+00:00,2025-03-27 23:59:59.999000+00:00,ADAUSDT,0.7288,0.7444,0.7209,0.7381,78374162.9,57646931.93526,237055,38351223.0,28217283.80929,0.7295952380952381,0.7290686274509803,0.7287935323383085,,,0.052471428571428544,7.108986393636167,1.2899684369424902,3.1838504267714356,1.2599918710201836,0.85354288036851,1.0703156753827419,,,,,,,,,True,True,True,True,True
2025-03-28 00:00:00+00:00,2025-03-28 23:59:59.999000+00:00,ADAUSDT,0.7381,0.7465,0.6895,0.7062,140942745.6,99880337.63729,338942,64647201.8,45772407.3391,0.7273671201814059,0.7281718185313341,0.7285687210712607,,79.29915639195326,0.05279489795918365,7.475913050011844,-4.32190760059612,8.071367884452004,4.5171339563862825,1.1894647408666204,2.3647691871991006,,,,,,,,,False,False,False,False,False
2025-03-29 00:00:00+00:00,2025-03-29 23:59:59.999000+00:00,ADAUSDT,0.7062,0.7122,0.6588,0.6732,104353465.2,70728077.73035,291770,49927120.7,33830881.97695,0.7222083468307958,0.72601606094187,0.7280177885232879,,64.43840506226417,0.052838119533527676,7.848799693037385,-4.672897196261683,7.932263814616756,4.901960784313729,0.8912655971479508,2.1390374331550754,,,,,,,,,False,False,False,False,False
2025-03-30 00:00:00+00:00,2025-03-30 23:59:59.999000+00:00,ADAUSDT,0.6733,0.6877,0.6512,0.6612,73774230.6,49517938.52411,246971,34996607.7,23486827.35083,0.7163980280850057,0.7234742546304241,0.7273529349061407,,60.032731701786794,0.05167111099541856,7.814747579464392,-1.7825311942959,5.520266182698121,1.8300060496067756,2.177858439201447,1.5124016938898985,,,,,,,,,False,False,False,False,False
2025-03-31 00:00:00+00:00,2025-03-31 23:59:59.999000+00:00,ADAUSDT,0.6613,0.6655,0.6296,0.6618,126559978.9,82455100.44599,397861,63616105.1,41453248.68108,0.7111982158864337,0.7210556564096232,0.7267006668971244,,60.17933061695883,0.05054460306717437,7.637443799814802,0.09074410163341096,5.424599576911443,0.07555152614083649,0.5590812934421162,4.789966757328489,,,,,,,,,False,False,False,False,False
2025-04-01 00:00:00+00:00,2025-04-01 23:59:59.999000+00:00,ADAUSDT,0.6618,0.6949,0.6577,0.677,106364321.5,72012531.61113,313155,52182780.9,35331514.96916,0.7079412429448686,0.7193279836092459,0.7262061328981481,,63.80169053860295,0.04959141713380478,7.325172397903216,2.296766394681171,5.49483013293944,2.2451994091580487,2.6440177252584807,0.6056129985229104,,,,,,,,,False,False,False,False,False
2025-04-02 00:00:00+00:00,2025-04-02 23:59:59.999000+00:00,ADAUSDT,0.6771,0.7098,0.6348,0.64,168146368.6,113932397.93491,520332,81829429.8,55521605.73886,0.7014706483786907,0.7162170822912363,0.7253483604314999,,51.516721179591784,0.05140631590996158,8.032236860931496,-5.465288035450522,11.718749999999993,5.7968750000000036,5.109374999999992,0.8124999999999972,,,,,,,,,False,False,False,False,False
2025-04-03 00:00:00+00:00,2025-04-03 23:59:59.999000+00:00,ADAUSDT,0.64,0.6576,0.613,0.6508,114219073.8,72816786.96394,363102,55258276.4,35267653.70124,0.6966448723426248,0.7136517065151095,0.7246065857008382,,54.28378317766301,0.05092015048782147,7.824239472621613,1.6874999999999973,6.85310387215734,1.6594960049170298,1.044867854947744,4.148740012292566,,,,,,,,,False,False,False,False,False
2025-04-04 00:00:00+00:00,2025-04-04 23:59:59.999000+00:00,ADAUSDT,0.6509,0.6717,0.6275,0.6603,126446033.5,82513900.40815,382720,63090022.2,41183652.60803,0.6931834559290415,0.7115594827302032,0.7239667191764518,,56.62863053105502,0.05044013973869137,7.638973154428497,1.4597418561770104,6.693927002877483,1.4235953354535762,1.7264879600181682,3.5438437074057383,,,,,,,,,False,False,False,False,False
